"x","predicted","std.error","conf.low","conf.high","group"
"NonBSF",0.134661632785917,0.00041682066881563,0.133844678919334,0.1354785866525,"1950"
"NonBSF",0.130600841863672,0.00108071244389285,0.128482683442663,0.132719000284681,"1960"
"NonBSF",0.129396220833719,0.00103838136394078,0.127361029842184,0.131431411825253,"1970"
"NonBSF",0.13292450895626,0.00102680517853147,0.130912006881418,0.134937011031102,"1980"
"NonBSF",0.132503089633272,0.00102199431379554,0.130500016684291,0.134506162582253,"1990"
"NonBSF",0.131910357054566,0.00101938887273663,0.129912390678523,0.13390832343061,"2000"
"NonBSF",0.124767275163051,0.001018162229081,0.122771712965476,0.126762837360625,"2010"
"NonBSF",0.115757505321019,0.00101864245290729,0.113761001901617,0.117754008740421,"2020"
"BSF",0.137594057920739,0.000417167630664466,0.136776424021123,0.138411691820356,"1950"
"BSF",0.133533266998494,0.00108098234011817,0.131414579590366,0.135651954406622,"1960"
"BSF",0.132328645968541,0.00103860275014016,0.130293021067834,0.134364270869248,"1970"
"BSF",0.135856934091083,0.00102705526575391,0.133843941854071,0.137869926328094,"1980"
"BSF",0.135435514768094,0.00102231750380711,0.133431808378045,0.137439221158143,"1990"
"BSF",0.134842782189389,0.0010195374398332,0.132844524627056,0.136841039751722,"2000"
"BSF",0.127699700297873,0.00101812286895842,0.125704215244756,0.12969518535099,"2010"
"BSF",0.118689930455841,0.00101864242651214,0.116693427088173,0.12068643382351,"2020"
